the_geom,cartodb_id,tract_10,sba_name,sba_id,ccd_name,ccd_id,cd_name,cd_id,boro_name,boro_id,city_name,city_id,tax_delinquency,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,standard_address,bbl,comm_area
,1010852,36061023900,Washington Heights/Inwood,3801,City Council District 7,7,MN 12 - Washington Heights/Inwood,112,Manhattan,1,New York City,1,,,5305050,N Y C HOUSING AUTHORITY,170,1966,1,1941 Amsterdam Avenue,1021070059,
,1010853,36081087100,Flushing/Whitestone,4103,City Council District 20,20,QN 07 - Flushing/Whitestone,407,Queens,4,New York City,1,,,7871850,NYC HOUSING AUTHORITY,400,1955,5,40-29 Lawrence Street,4050370008,
,1010854,36047049100,Williamsburg/Greenpoint,4001,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,2337300,NYC HOUSING AUTHORITY,51,1971,1,22 Manhattan Avenue,3031050001,
,1010855,36047049100,Williamsburg/Greenpoint,4001,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,2668950,NYC HOUSING AUTHORITY,80,1975,1,60 Moore Street,3031050109,
,1010856,36047049100,Williamsburg/Greenpoint,4001,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1819350,NYC HOUSING AUTHORITY,65,1965,1,50 Manhattan Avenue,3030960001,
,1010857,36047049100,Williamsburg/Greenpoint,4001,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1901250,NYC HOUSING AUTHORITY,72,1965,1,70 Seigel Street,3030960014,
,1010858,36047049300,Bushwick,4002,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1632150,NYC HOUSING AUTHORITY,72,1972,1,125 Seigel Street,3030800050,
,1010859,36047049300,Bushwick,4002,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1513800,NYC HOUSING AUTHORITY,53,1972,1,101 Humboldt Street,3030800040,
,1010860,36047049300,Bushwick,4002,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1783800,NYC HOUSING AUTHORITY,58,1972,1,111 Humboldt Street,3030800070,
,1010861,36047049300,Bushwick,4002,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,7588350,NYC HOUSING AUTHORITY,248,1972,1,160 Boerum Street,3030800010,
,1010862,36047049300,Bushwick,4002,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1623600,NYC HOUSING AUTHORITY,65,1972,1,130 Humboldt Street,3030810001,
,1010863,36047049300,Bushwick,4002,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1867050,NYC HOUSING AUTHORITY,65,1972,1,155 Seigel Street,3030810060,
,1010864,36047049300,Bushwick,4002,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1802250,NYC HOUSING AUTHORITY,65,1972,1,124 Humboldt Street,3030810075,
,1010865,36047049300,Bushwick,4002,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1755900,NYC HOUSING AUTHORITY,65,1972,1,175r Seigel Street,3030810070,
,1010866,36047049300,Bushwick,4002,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1845900,NYC HOUSING AUTHORITY,65,1972,1,330 Bushwick Avenue,3030810050,
,1010867,36047049300,Bushwick,4002,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1834650,NYC HOUSING AUTHORITY,65,1972,1,300 Bushwick Avenue,3030810040,
,1010868,36047049300,Bushwick,4002,City Council District 34,34,BK 01 - Greenpoint/Williamsburg,301,Brooklyn,3,New York City,1,,,1615050,NYC HOUSING AUTHORITY,51,1972,1,110 Humboldt Street,3030810080,
,1010869,36005033000,Pelham Parkway,3704,City Council District 13,13,BX 11 - Morris Park/Bronxdale,211,Bronx,2,New York City,1,,,5141700,NYC HOUSING AUTHORITY,241,1972,2,2440 Boston Road,2044310001,
,1010870,36005046202,Throgs Neck/Co-op City,3703,City Council District 12,12,BX 12 - Williamsbridge/Baychester,212,Bronx,2,New York City,1,,,7541550,NYC HOUSING AUTHORITY,307,1967,2,3475 Bivona Street,2052630040,
,1010871,36005046202,Throgs Neck/Co-op City,3703,City Council District 12,12,BX 12 - Williamsbridge/Baychester,212,Bronx,2,New York City,1,,,6824250,NYC HOUSING AUTHORITY,231,1960,4,3550 Bivona Street,2052630070,
,1010872,36047111000,East New York/Starrett City,4008,City Council District 42,42,BK 05 - East New York/Starrett City,305,Brooklyn,3,New York City,1,,,18595350,NYC HOUSING AUTHORITY,740,1953,10,829 Schenck Avenue,3043550001,
,1010873,36047111000,East New York/Starrett City,4008,City Council District 42,42,BK 05 - East New York/Starrett City,305,Brooklyn,3,New York City,1,,,21348000,NYC HOUSING AUTHORITY,576,1930,8,845 Stanley Avenue,3043770001,
,1010874,36005005001,Soundview/Parkchester,3709,City Council District 18,18,BX 09 - Parkchester/Soundview,209,Bronx,2,New York City,1,,,314550,NYC HOUSING AUTHORITY,11,1928,1,1044 Boynton Avenue,2037150023,
,1010875,36005005001,Soundview/Parkchester,3709,City Council District 18,18,BX 09 - Parkchester/Soundview,209,Bronx,2,New York City,1,,,350550,NYC HOUSING AUTHORITY,11,1928,1,1048 Boynton Avenue,2037150025,
,1010876,36005005001,Soundview/Parkchester,3709,City Council District 18,18,BX 09 - Parkchester/Soundview,209,Bronx,2,New York City,1,,,1926000,NYC HOUSING AUTHORITY,60,1928,1,1057 Boynton Avenue,2037140036,
,1010877,36061002601,Lower East Side/Chinatown,3809,City Council District 2,2,MN 03 - Lower East Side/Chinatown,103,Manhattan,1,New York City,1,,,10286550,NYC HOUSING AUTHORITY,108,1973,1,274 East 4 Street,1003860033,
,1010878,36047098200,Flatlands/Canarsie,4009,City Council District 42,42,BK 18 - Flatlands/Canarsie,318,Brooklyn,3,New York City,1,,,5577750,NYC HOUSING AUTHORITY,255,1952,4,757 East 103 Street,3081910001,
,1010879,36047098200,Flatlands/Canarsie,4009,City Council District 42,42,BK 18 - Flatlands/Canarsie,318,Brooklyn,3,New York City,1,,,5645700,NYC HOUSING AUTHORITY,239,1951,6,10609 Flatlands Avenue,3081930001,
,1010880,36047098200,Flatlands/Canarsie,4009,City Council District 42,42,BK 18 - Flatlands/Canarsie,318,Brooklyn,3,New York City,1,,,4104000,NYC HOUSING AUTHORITY,187,1951,4,10835 Flatlands Avenue,3081580205,
,1010881,36047098200,Flatlands/Canarsie,4009,City Council District 42,42,BK 18 - Flatlands/Canarsie,318,Brooklyn,3,New York City,1,,,10148400,NYC HOUSING AUTHORITY,424,1951,8,620 East 108 Street,3081740001,
,1010882,36047098200,Flatlands/Canarsie,4009,City Council District 42,42,BK 18 - Flatlands/Canarsie,318,Brooklyn,3,New York City,1,,,10616400,NYC HOUSING AUTHORITY,515,1950,10,254 Stanley Avenue,3081580001,
