the_geom,cartodb_id,fc_subsidy_id,end_date,start_date,obs_id,sub_subsidy_id,subsidy_id,agency_id,reac_date,reac_score,tenure,preservation,subsidized_units,project_name,sub_subsidy_name,subsidy_name,agency_name,program
,655931,1000000001028,20281231,19980101,,,,,,,Rental,Preservation,,CLASSON AVE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655932,1000000001029,20281231,19980101,,,,,,,Rental,Preservation,,FRANKLIN AVE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655933,1000000001030,20371231,20070101,,,,,,,Rental,Preservation,,PACIFIC VILLAGE PHASE II,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655934,1000000001031,20361231,20060101,,,,,,,Rental,,,GEORGIA'S PLACE,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655935,1000000001032,20261231,19960101,,,,,,,Rental,Preservation,,166 BROOKLYN AVE,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655936,1000000001033,20281231,19980101,,,,,,,Rental,Preservation,,FRANKLIN AVE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655937,1000000001034,20281231,19980101,,,,,,,Rental,Preservation,,FRANKLIN AVE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655938,1000000001035,20221231,19920101,,,,,,,Rental,Preservation,,BEC NEW COMMUNITIES HDFC,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,655939,1000000001036,20371231,20070101,,,,,,,Rental,Preservation,,PACIFIC VILLAGE PHASE II,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655940,1000000001037,20261231,19960101,,,,,,,Rental,Preservation,,HPD/PLP/HOME PROGRAM,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655941,1000000001038,20301231,20000101,,,,,,,Rental,,,STUDEBAKER PLACE,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655942,1000000001039,20341231,20040101,,,,,,,Rental,Preservation,,PACIFIC STREET CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655943,1000000001040,20331231,20030101,,,,,,,Rental,Preservation,,MT CARMEL MONASTERY SENIOR HOUSING,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655944,1000000001041,20371231,20070101,,,,,,,Rental,Preservation,,DAVID CHAVIS APARTMENTS,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655945,1000000001042,20391231,20090101,,,,,,,Rental,,,CROWN HEIGHTS APARTMENS  LLC,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655946,1000000001043,20341231,20040101,,,,,,,Rental,Preservation,,PACIFIC STREET CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655947,1000000001047,20301231,20000101,,,,,,,Rental,Preservation,,EAST NY CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655948,1000000001048,20311231,20010101,,,,,,,Rental,Preservation,,EAST NY CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655949,1000000001051,20221231,19920101,,,,,,,Rental,Preservation,,ST MARKS HOUSE PHASE II,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655950,1000000001053,,,,,,,,,Rental,Preservation,,ST MARKS EPISCOPAL HDFC,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,655951,1000000001055,20441231,20140101,,,,,,,Rental,,,BEREAN APARTMENTS,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655952,1000000001056,20411231,20110101,,,,,,,Rental,Preservation,,THE ROCHESTER AVENUE APTS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655953,1000000001057,20261231,19960101,,,,,,,Rental,Preservation,,1544 PARK PL,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655954,1000000001058,20281231,19980101,,,,,,,Rental,Preservation,,FRANKLIN AVE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655955,1000000001059,20271231,19970101,,,,,,,Rental,Preservation,,BALFOUR COURT APTS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655956,1000000001060,20321231,20020101,,,,,,,Rental,Preservation,,KHIDMAH ARMS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655957,1000000001061,20341231,20040101,,,,,,,Rental,,,1615 ST JOHNS PL,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655958,1000000001062,,,,,,,,,Rental,Preservation,,ST JOHNS PLACE,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,655959,1000000001063,20341231,20040101,,,,,,,Rental,Preservation,,PACIFIC STREET CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655960,1000000001064,20441231,20140101,,,,,,,Rental,,,UTICA PLACE RESIDENTIAL LLC,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655961,1000000001065,,,,,,,,,Rental,Preservation,,HEWITT HOUSE HOUSING,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,655962,1000000001066,20241231,19940101,,,,,,,Rental,Preservation,,1610 ASSOC,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655963,1000000001067,20301231,20000101,,,,,,,Rental,,,935 EASTERN PARKWAY,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655964,1000000001068,,,,,,,,,Rental,Preservation,,U-P REHABILITATION ASSOC HOUSING,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,655965,1000000001069,,,,,,,,,Rental,Preservation,,1666 UNION ST,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,655966,1000000001070,,,,,,,,,Rental,Preservation,,1681 PRESIDENT ST,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,655967,1000000001071,,,,,,,,,Rental,Preservation,,U-P REHABILITATION ASSOC HOUSING,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,655968,1000000001072,,,,,,,,,Rental,Preservation,,AMBASSADOR COURT ASSOC,LIHTC 4%,Financing,NYS Division of Housing and Community Renewal,false
,655969,1000000001074,20421231,20120101,,,,,,,Rental,,,CONCERN HEIGHTS APTS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655970,1000000001075,20281231,19980101,,,,,,,Rental,Preservation,,MAMIE WIGGINS APTS,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655971,1000000001076,20411231,20110101,,,,,,,Rental,Preservation,,ATLANTIC COMMONS CORNERSTONE,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655972,1000000001077,20241231,19940101,,,,,,,Rental,Preservation,,BK-12G,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655973,1000000001078,20431231,20130101,,,,,,,Rental,,,LORETO PRESERVATION,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655974,1000000001079,20461231,20160101,,,,,,,Rental,,,BERGEN SARATOGA APARTMENTS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655975,1000000001080,20411231,20110101,,,,,,,Rental,,,MTI HOWARD AVENUE RESIDENCE,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655976,1000000001081,20401231,20100101,,,,,,,Rental,,,THE DOMENECH SENIOR APTS,LIHTC 9%,Financing,NYS Division of Housing and Community Renewal,false
,655977,1000000001082,20461231,20160101,,,,,,,Rental,,,OCEANHILL LLC,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655978,1000000001083,20471231,20170101,,,,,,,Rental,,,OCEANHILL II LLC,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655979,1000000001084,20431231,20130101,,,,,,,Rental,Preservation,,CITYWIDE POTFOLIO - EAST PKWY,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655980,1000000001085,20421231,20120101,,,,,,,Rental,Preservation,,ATLANTIC COMMONS CORNERSTONE LP,LIHTC 4%,Financing,NYC Department of Housing Preservation and Development,false
,655981,1000000001086,20351231,20050101,,,,,,,Rental,Preservation,,HOWARD AVENUE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655982,1000000001087,20421231,20120101,,,,,,,Rental,,,OLR MM APTS - MADISON/PUTNAM CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655983,1000000001088,20351231,20050101,,,,,,,Rental,Preservation,,HOWARD AVENUE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655984,1000000001089,20321231,20020101,,,,,,,Rental,Preservation,,HOWARD AVENUE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655985,1000000001090,20311231,20010101,,,,,,,Rental,Preservation,,HOWARD AVE CLUST,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655986,1000000001092,20321231,20020101,,,,,,,Rental,Preservation,,HOWARD AVENUE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
,655987,1000000001093,20351231,20050101,,,,,,,Rental,Preservation,,HOWARD AVENUE CLUSTER,LIHTC 9%,Financing,NYC Department of Housing Preservation and Development,false
