the_geom,cartodb_id,bbl,fc_subsidy_id
,811870,3007460039,2000000001838
,811871,3007830021,2000000001839
,811872,3007920024,2000000001840
,811873,3008160037,2000000001841
,811874,3008160042,2000000001842
,811875,3008370001,2000000001843
,811876,3008460035,2000000001844
,811877,3011090001,2000000001845
,811878,3011750093,2000000001846
,811879,3011780072,2000000001847
,811880,3011880044,2000000001848
,811881,3012050028,2000000001849
,811882,3012050062,2000000001850
,811883,3012110039,2000000001852
,811884,3012210001,2000000001853
,811885,3012230053,2000000001854
,811886,3012270023,2000000001855
,811887,3012300023,2000000001856
,811888,3012460030,2000000001857
,811889,3012500025,2000000001858
,811890,3012510001,2000000001859
,811891,3012800025,2000000001860
,811892,3012800038,2000000001861
,811893,3012800046,2000000001862
,811894,3012810011,2000000001863
,811895,3012810025,2000000001864
,811896,3012820036,2000000001865
,811897,3012910001,2000000001866
,811898,3012960008,2000000001867
,811899,3013110038,2000000001868
,811900,3013610038,2000000001869
,811901,3013610061,2000000001870
,811902,3013630062,2000000001871
,811903,3013630078,2000000001872
,811904,3013800018,2000000001873
,811905,3013860044,2000000001874
,811906,3013890060,2000000001875
,811907,3013940046,2000000001876
,811908,3013950024,2000000001877
,811909,3047950013,2000000001877
,811910,3013990034,2000000001878
,811911,3014020024,2000000001879
,811912,3014020029,2000000001880
,811913,3014070043,2000000001881
,811914,3014080023,2000000001882
,811915,3014220001,2000000001883
,811916,3014520062,2000000001884
,811917,3014520076,2000000001885
,811918,3014740056,2000000001887
,811919,3015040073,2000000001888
,811920,3015880001,2000000001889
,811921,3015950061,2000000001890
,811922,3016330060,2000000001891
,811923,3016370005,2000000001892
,811924,3016480006,2000000001893
,811925,3016760001,2000000001894
,811926,3016840001,2000000001895
,811927,3017020001,2000000001896
,811928,3017540001,2000000001897
,811929,3017700091,2000000001898
,811930,3017770015,2000000001899
,811931,3017780049,2000000001900
,811932,3017800024,2000000001901
,811933,3017850020,2000000001902
,811934,3017960001,2000000001903
,811935,3017980040,2000000001904
,811936,3017990013,2000000001905
,811937,3018120042,2000000001906
,811938,3018130083,2000000001907
,811939,3018240070,2000000001908
,811940,3018280017,2000000001909
,811941,3018590010,2000000001910
,811942,3018610020,2000000001911
,811943,3018680028,2000000001912
,811944,3019520016,2000000001913
,811945,3019590027,2000000001914
,811946,3020060001,2000000001915
,811947,3020190040,2000000001916
,811948,3020960006,2000000001917
,811949,3021190001,2000000001918
,811950,3021480013,2000000001919
,811951,3021660001,2000000001920
,811952,3023650019,2000000001921
,811953,2028780017,1000000000815
,811954,2028780019,1000000000816
,811955,2028780090,1000000000817
,811956,2028780170,1000000000818
,811957,2028800058,1000000000819
,811958,2028810015,1000000000820
,811959,2028810040,1000000000821
,811960,2028820229,1000000000822
,811961,2028870100,1000000000823
,811962,2028910006,1000000000824
,811963,2028970127,1000000000825
,811964,2028970132,1000000000826
,811965,2029030003,1000000000827
,811966,2029130042,1000000000828
,811967,2029170017,1000000000829
,811968,2029190001,1000000000830
,811969,2029190043,1000000000831
,811970,2029240042,1000000000832
,811971,2029250042,1000000000833
,811972,2029250088,1000000000834
